dataset,corruption,fold,val_score,test_score
1497,tabnet,27,0.98717946,0.9688637408652685
1497,tabnet,28,0.978022,0.9606473119494329
1497,tabnet,29,0.98351645,0.9660599553873626
40994,tabnet,0,1.0,0.9020833333333333
40994,tabnet,1,0.9444444,0.9548045240003562
40994,tabnet,2,1.0,0.937057991513437
40994,tabnet,3,0.9814815,0.9259259259259259
40994,tabnet,4,1.0,0.8911541638507172
40994,tabnet,5,0.9814815,0.9524583702827863
40994,tabnet,6,0.9814815,0.9115646258503401
40994,tabnet,7,0.9814815,0.9005699528007837
40994,tabnet,8,0.9814815,0.9144250665090156
40994,tabnet,9,1.0,0.9292517006802723
40994,tabnet,10,1.0,0.9005699528007837
40994,tabnet,11,1.0,0.9144250665090156
40994,tabnet,12,0.9814815,0.8911541638507172
40994,tabnet,13,0.9814815,0.9010416666666665
40994,tabnet,14,0.9814815,0.8873015873015874
40994,tabnet,15,0.962963,0.9412500000000001
40994,tabnet,16,0.962963,0.9074074074074074
40994,tabnet,17,0.9814815,0.9005699528007837
40994,tabnet,18,0.9814815,0.8888888888888888
40994,tabnet,19,1.0,0.8954084146221304
40994,tabnet,20,0.9814815,0.9046398046398048
40994,tabnet,21,0.9814815,0.8915742793791575
40994,tabnet,22,0.9814815,0.8741159830268741
40994,tabnet,23,1.0,0.9318962824117465
40994,tabnet,24,0.9814815,0.9259259259259259
40994,tabnet,25,0.9814815,0.8977346278317152
40994,tabnet,26,0.9814815,0.8825000000000001
40994,tabnet,27,0.9814815,0.9393162393162393
40994,tabnet,28,0.9814815,0.9292517006802723
40994,tabnet,29,0.9814815,0.9020833333333333
1480,tabnet,0,0.84745765,0.6830326052548275
1480,tabnet,1,0.779661,0.6431869535317812
1480,tabnet,2,0.8305085,0.6690773613850537
1480,tabnet,3,0.89830506,0.7284022020864126
1480,tabnet,4,0.8135593,0.6609190267726853
1480,tabnet,5,0.7627119,0.7064542895394593
1480,tabnet,6,0.8305085,0.6745237521099591
1480,tabnet,7,0.8305085,0.6863122171945701
1480,tabnet,8,0.7966102,0.6445961664896577
1480,tabnet,9,0.8135593,0.635985097523559
1480,tabnet,10,0.84745765,0.658312447786132
1480,tabnet,11,0.8305085,0.6480067037757625
1480,tabnet,12,0.8135593,0.6199708871444809
1480,tabnet,13,0.8305085,0.7064542895394593
1480,tabnet,14,0.84745765,0.6923076923076923
1480,tabnet,15,0.779661,0.6948271240954167
1480,tabnet,16,0.8135593,0.7356550676130571
1480,tabnet,17,0.8305085,0.7004090766281315
1480,tabnet,18,0.7627119,0.6431869535317812
1480,tabnet,19,0.86440676,0.6560683760683761
1480,tabnet,20,0.7966102,0.6857308416630451
1480,tabnet,21,0.779661,0.6778730754340511
1480,tabnet,22,0.8305085,0.6498143664245359
1480,tabnet,23,0.8135593,0.7459246406614828
1480,tabnet,24,0.7627119,0.6609190267726853
1480,tabnet,25,0.779661,0.6802258098554395
1480,tabnet,26,0.84745765,0.6386882958311528
1480,tabnet,27,0.7966102,0.596315045753248
1480,tabnet,28,0.8305085,0.672906208343969
1480,tabnet,29,0.8305085,0.6367323703123888
11,tabnet,0,0.984127,0.864
11,tabnet,1,0.984127,0.8850666666666666
11,tabnet,2,0.96825397,0.8776927158218748
11,tabnet,3,0.96825397,0.8659064939282524
11,tabnet,4,0.95238096,0.8971583710407239
11,tabnet,5,0.95238096,0.8719345900522372
11,tabnet,6,0.96825397,0.8483716120076349
11,tabnet,7,0.984127,0.9072153110047848
11,tabnet,8,0.984127,0.8879792207792208
11,tabnet,9,1.0,0.8961904761904761
11,tabnet,10,0.96825397,0.8733806502154328
11,tabnet,11,0.96825397,0.9162638736654083
11,tabnet,12,0.95238096,0.9158267419962335
11,tabnet,13,1.0,0.917055900621118
11,tabnet,14,0.984127,0.8401651150292123
11,tabnet,15,0.93650794,0.8654577359968664
11,tabnet,16,1.0,0.9339692307692308
11,tabnet,17,0.96825397,0.8369777777777777
11,tabnet,18,0.984127,0.9263373819163293
11,tabnet,19,0.984127,0.9079350649350649
11,tabnet,20,0.95238096,0.8941689430187038
11,tabnet,21,0.984127,0.9180884564352056
11,tabnet,22,0.984127,0.9169823736780258
11,tabnet,23,1.0,0.9119782082324457
11,tabnet,24,0.96825397,0.9108102301790282
11,tabnet,25,0.984127,0.9160884131232035
11,tabnet,26,0.96825397,0.8948671679197994
11,tabnet,27,0.984127,0.9041185154766184
11,tabnet,28,0.93650794,0.8608037244535626
11,tabnet,29,1.0,0.8719090751344786
37,tabnet,0,0.8181818,0.7495827986975903
37,tabnet,1,0.8181818,0.7568387094790126
37,tabnet,2,0.90909094,0.6950949050949051
37,tabnet,3,0.8701299,0.6875038836761325
37,tabnet,4,0.8701299,0.6617354012311994
37,tabnet,5,0.84415585,0.7402597402597404
37,tabnet,6,0.85714287,0.710195463049429
37,tabnet,7,0.8831169,0.724701768819416
37,tabnet,8,0.8701299,0.6916940899577904
37,tabnet,9,0.84415585,0.702505575232848
37,tabnet,10,0.84415585,0.736243107924524
37,tabnet,11,0.84415585,0.7598727802809436
37,tabnet,12,0.83116883,0.7450067174205105
37,tabnet,13,0.83116883,0.6779755882289626
37,tabnet,14,0.8181818,0.7495827986975903
37,tabnet,15,0.8701299,0.7256102474747123
37,tabnet,16,0.85714287,0.7523799794283987
37,tabnet,17,0.8181818,0.7792207792207793
37,tabnet,18,0.85714287,0.7071536358745175
37,tabnet,19,0.8051948,0.6954383498572333
37,tabnet,20,0.83116883,0.7422593190996117
37,tabnet,21,0.83116883,0.688825590794173
37,tabnet,22,0.85714287,0.7819117315458253
37,tabnet,23,0.84415585,0.6441439770965756
37,tabnet,24,0.84415585,0.7095160293129836
37,tabnet,25,0.8051948,0.7045401695428826
37,tabnet,26,0.83116883,0.7619754876392045
37,tabnet,27,0.8701299,0.6811228479522524
37,tabnet,28,0.77922076,0.6931707748034278
37,tabnet,29,0.8051948,0.7491092977818641
