dataset,corruption,npairs,patience,fold,test_score,z_score_LR,p_score_LR,z_score_GBT,p_score_GBT,avg_loss_time
1049,pass,loss=cluster-simclr-case2,9999,18,0.897294981909546,0,0,0,0,0.0058381523404802
1049,pass,loss=cluster-simclr-case2,9999,19,0.9029262832471616,0,0,0,0,0.0057936136381966
1049,pass,loss=cluster-simclr-case2,9999,20,0.8984921556270522,0,0,0,0,0.0058379116739545
1049,pass,loss=cluster-simclr-case2,9999,21,0.915709386653674,0,0,0,0,0.0057348346369607
1049,pass,loss=cluster-simclr-case2,9999,22,0.9029262832471616,0,0,0,0,0.0057798926489693
1049,pass,loss=cluster-simclr-case2,9999,23,0.8876125155382317,0,0,0,0,0.0058014850616455
1049,pass,loss=cluster-simclr-case2,9999,24,0.888835017491285,0,0,0,0,0.0058483098915645
1049,pass,loss=cluster-simclr-case2,9999,25,0.9422023182297156,0,0,0,0,0.0058482098579406
1049,pass,loss=cluster-simclr-case2,9999,26,0.9129515353479156,0,0,0,0,0.0058197932243347
1049,pass,loss=cluster-simclr-case2,9999,27,0.9080770983567004,0,0,0,0,0.0057622823715209
1049,pass,loss=cluster-simclr-case2,9999,28,0.8944588907058413,0,0,0,0,0.0057488371985299
1049,pass,loss=cluster-simclr-case2,9999,29,0.9086851688748132,0,0,0,0,0.0058034306594303
1494,pass,loss=cluster-simclr-case2,9999,0,0.8708253145750529,0,0,0,0,0.0059245883464813
1494,pass,loss=cluster-simclr-case2,9999,1,0.8854084739220404,0,0,0,0,0.0056091272354125
1494,pass,loss=cluster-simclr-case2,9999,2,0.8483412322274881,0,0,0,0,0.0059071621894836
1494,pass,loss=cluster-simclr-case2,9999,3,0.894528318071669,0,0,0,0,0.005762804698944
1494,pass,loss=cluster-simclr-case2,9999,4,0.8742342529726088,0,0,0,0,0.005941613292694
1494,pass,loss=cluster-simclr-case2,9999,5,0.8421198289250647,0,0,0,0,0.0056003761291503
1494,pass,loss=cluster-simclr-case2,9999,6,0.872668724922019,0,0,0,0,0.0058550632953643
1494,pass,loss=cluster-simclr-case2,9999,7,0.8606720695958934,0,0,0,0,0.0058032040119171
1494,pass,loss=cluster-simclr-case2,9999,8,0.8753516486301542,0,0,0,0,0.0058917495727539
1494,pass,loss=cluster-simclr-case2,9999,9,0.8472112985627205,0,0,0,0,0.0059313923835754
1494,pass,loss=cluster-simclr-case2,9999,10,0.8210672304567057,0,0,0,0,0.0057046569347381
1494,pass,loss=cluster-simclr-case2,9999,11,0.8668212833182078,0,0,0,0,0.0058425416469573
1494,pass,loss=cluster-simclr-case2,9999,12,0.8555504468180425,0,0,0,0,0.0058342760562896
1494,pass,loss=cluster-simclr-case2,9999,13,0.8960836070480108,0,0,0,0,0.0059533357143402
1494,pass,loss=cluster-simclr-case2,9999,14,0.8858468142727495,0,0,0,0,0.0056457880496978
1494,pass,loss=cluster-simclr-case2,9999,15,0.8421198289250647,0,0,0,0,0.0060211415290832
1494,pass,loss=cluster-simclr-case2,9999,16,0.865180417030173,0,0,0,0,0.005830018043518
1494,pass,loss=cluster-simclr-case2,9999,17,0.8496890233903494,0,0,0,0,0.0059453590393066
1494,pass,loss=cluster-simclr-case2,9999,18,0.8548856765068565,0,0,0,0,0.0057937778949737
1494,pass,loss=cluster-simclr-case2,9999,19,0.8903967141628415,0,0,0,0,0.0057833285331726
1494,pass,loss=cluster-simclr-case2,9999,20,0.8817185294788108,0,0,0,0,0.0057452155590057
1494,pass,loss=cluster-simclr-case2,9999,21,0.8310937069793656,0,0,0,0,0.0058161926746368
1494,pass,loss=cluster-simclr-case2,9999,22,0.8522738321325255,0,0,0,0,0.005816135597229
1494,pass,loss=cluster-simclr-case2,9999,23,0.8782510919059567,0,0,0,0,0.0054829687595367
1494,pass,loss=cluster-simclr-case2,9999,24,0.8758591800822103,0,0,0,0,0.0056859655380249
1494,pass,loss=cluster-simclr-case2,9999,25,0.8957345971563981,0,0,0,0,0.0058519674301147
1494,pass,loss=cluster-simclr-case2,9999,26,0.825015106947198,0,0,0,0,0.0058965834140777
1494,pass,loss=cluster-simclr-case2,9999,27,0.857308517840937,0,0,0,0,0.0056937652111053
1494,pass,loss=cluster-simclr-case2,9999,28,0.8255089934116555,0,0,0,0,0.0057568943023681
